Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
163,Ante Sundaraniki,"Jun 9, 2022",Prime Media Pictures,Comedy,"$621,000","67,720"
164,The Roundup,"May 20, 2022",Capelight Pictures,Action,"$613,026","66,851"
165,Official Competition,"Jun 17, 2022",IFC Films,Comedy,"$593,926","64,768"
166,Cuando Sea Joven,"Sep 23, 2022",Pantelion Films,Comedy,"$588,028","64,125"
167,Runway 34,"Apr 29, 2022",Yash Raj Films,Thriller/Suspense,"$549,624","59,937"
168,"Confess, Fletch","Sep 16, 2022",Paramount Pictures,Comedy,"$538,842","58,761"
169,The Legend of Maula Jatt,"Oct 13, 2022",,Action,"$525,000","57,251"
170,Call Jane,"Oct 28, 2022",Roadside Attractions,Drama,"$512,770","55,918"
171,God’s Country,"Sep 16, 2022",IFC Films,Drama,"$493,679","53,836"
172,Deep in the Heart: A Texas …,"Jun 3, 2022",Fin and Fur Films,Documentary,"$480,240","52,370"
173,The Railway Children,"Sep 23, 2022",Blue Fox Entertai…,Adventure,"$457,433","49,883"
174,Brian and Charles,"Jun 17, 2022",Focus Features,Comedy,"$430,635","46,961"
175,Beast,"Apr 15, 2022",United Artists,Action,"$430,000","46,892"
176,Emergency Declaration,"Aug 12, 2022",Well Go USA,Thriller/Suspense,"$412,196","44,950"
177,Facing Nolan,"May 24, 2022",Utopia,Documentary,"$405,797","44,252"
178,Superspreader,"Sep 29, 2022",Iconic Releasing,Documentary,"$399,370","43,551"
179,King Richard,"Nov 19, 2021",Warner Bros.,Drama,"$399,007","43,512"
180,Yashoda,"Nov 11, 2022",Cinegalaxy,Thriller/Suspense,"$395,000","43,075"
181,Tyson’s Run,"Mar 11, 2022",Collide Distribution,Drama,"$391,167","42,657"
182,Alice,"Mar 18, 2022",Roadside Attractions,Thriller/Suspense,"$373,037","40,680"
183,Selena,"Mar 21, 1997",Warner Bros.,Drama,"$360,000","39,258"
184,Inu-Oh,"Aug 12, 2022",GKIDS,Musical,"$351,558","38,337"
185,The Forgiven,"Jul 1, 2022",Roadside Attractions,Drama,"$340,222","37,101"
186,Godzilla Against MechaGodzilla,"Nov 3, 2022",Fathom Events,Action,"$335,000","36,532"
187,Red Rocket,"Dec 10, 2021",A24,Drama,"$330,406","36,031"
188,Mad God,"Jun 10, 2022",Shudder,Horror,"$325,042","35,446"
189,Clean,"Jan 28, 2022",IFC Films,Thriller/Suspense,"$318,877","34,773"
190,Waterman,"Apr 1, 2022",Purdie Distribution,Documentary,"$316,848","34,552"
191,Meet Me in the Bathroom,"Nov 4, 2022",Utopia,Documentary,"$307,000","33,478"
192,The Deer King,"Jul 13, 2022",Fathom Events,Adventure,"$296,210","32,302"
193,Montana Story,"May 13, 2022",Bleecker Street,Drama,"$292,916","31,942"
194,Flee,"Dec 3, 2021",Neon,Documentary,"$283,487","30,914"
195,A Love Song,"Jul 29, 2022",Bleecker Street,Drama,"$278,889","30,413"
196,Mothering Sunday,"Mar 25, 2022",Sony Pictures Cla…,Drama,"$275,352","30,027"
